id,other_id,int_area_m2
5036,5038,19873.258061472476
2005,2006,9243.322765790792
5031,4036,8871.163589929709
2046,2047,4666.966268775711
13011,13012,4475.0882824320115
1002,3060,3816.511720275061
9075,9076,2776.795476527851
3020,3014,2500.9169230837842
6040,6045,2315.530129415207
5020,5021,2129.388392754277
5090,5093,1841.0050594464785
2129,7022,1758.8692720041038
2008,2009,1674.9355647777197
5129,6052,1586.590882839595
5066,5067,1563.0487351218544
2034,2035,1489.2384661178153
2133,14015,1437.600570537098
6046,6048,1374.030363341049
3027,3030,1237.05828739795
5029,5030,1214.7427471983203
2041,2042,1203.5299659947145
2136,14008,1087.9806928078542
3057,3058,961.5592549956588
14010,14008,939.9592469303622
2132,7022,750.1527552996392
2156,2157,633.2672366834938
3058,3060,571.9389581397429
2104,2105,554.927702988057
2133,14016,499.6635103430189
13028,13027,412.31710444473333
7007,7006,403.8623075541585
7012,14032,393.8618831868066
2150,14007,391.3747124186278
2076,2100,373.53771257337576
6048,6052,341.6384532609445
2090,2083,337.41606982125194
14035,14034,332.9544213513894
5080,5081,318.25332107552754
5034,5033,300.0098013944916
9002,9003,268.3293438236491
2107,2110,259.9369909935778
9064,9073,259.4001806827698
2110,2111,244.41457434257353
3015,3020,238.6894301127477
6043,6040,230.7628029797974
2136,14014,220.24360151515268
7009,7010,216.44151767849678
3014,3023,214.9156781457906
6103,6102,206.02398346124977
6040,6041,197.57923809043442
4036,5036,190.88837619802757
2133,14014,187.56068755989168
4038,5025,180.52749604681753
5026,5025,156.13217441458082
2107,2074,146.9233436680925
2133,2135,134.7732532685019
5022,5021,132.92499630828073
9097,9110,123.19753153654078
2126,2127,120.2868497948489
5053,5069,114.13239997183958
3041,3042,106.86501893541528
6108,4027,99.90440050696299
6053,6077,96.35396602042623
6054,6077,91.75752133841688
3043,3041,81.43273020463329
3035,3036,79.07247702343416
3056,3058,73.16115662288581
6107,4027,67.07279957284163
5014,21022,66.97046111300757
14015,14016,66.64731361714054
5073,4027,61.28305047127309
6077,6078,58.78054647464031
2079,2080,48.39873280287176
2144,2150,45.070130929997354
7022,7023,42.84666238314831
5071,5072,41.32869622024957
2102,2101,40.29849075437679
4042,21022,36.92398632205458
9099,9110,35.331858447438265
6045,5141,32.87577650697535
2072,2074,31.155203845077445
9108,9109,30.9858564102107
13017,13019,29.739703333281568
9015,9016,29.67395183490241
2123,2124,28.70092336928244
3023,3022,26.27574176645915
6107,6108,25.857632564567492
6066,6077,25.587964964477344
3032,2040,25.27326261826008
6110,6108,24.128871168765144
4027,4026,24.092627088028205
5123,6077,23.6502565262964
2128,7022,22.280955944402898
3002,3003,21.92530357392572
5128,5125,21.659876216923294
14021,14019,21.624693498951636
5097,6092,21.4851742538221
6074,6075,20.986279396368026
6090,6088,18.834535119194136
5123,5129,18.234882990038887
2039,2037,17.27919003741746
2129,2132,16.994842634796004
6033,6034,16.930449719429554
14015,14014,15.276822698477385
12014,12013,14.4535189814313
2086,2088,13.82345296623576
9024,9023,13.12107353019147
5077,5086,12.707181819864049
2068,2063,12.508978386405488
5056,5066,12.508557382568304
2022,2034,12.471929973366812
5068,5054,12.229130079291444
5123,6078,11.02666459806008
2135,14014,10.77324089265775
5068,5066,10.179536684997586
5051,4028,10.077001054561917
