id,other_id,int_area_m2
5031,4036,8330.015168548292
4026,6112,8171.601910593806
2129,2132,6926.482979891246
5053,5071,6576.203412487316
4027,4026,6115.618782115365
5036,5038,5174.570062762121
2046,2047,4165.9816215762785
4027,6108,4086.631003257844
1002,3060,3799.1789752332525
6035,6034,3461.569846527801
5021,5020,2296.1386698666274
14015,2133,2141.165002017468
4023,4022,2031.9669344688898
6074,6075,1908.8168681992638
14015,14014,1696.5061551449821
7015,7014,1650.8767382213118
9101,9106,1618.5431454286113
3020,3014,1572.9371978894817
14032,7012,1525.3843340494427
9002,9003,1479.9701184099445
2129,7022,1315.1243288560795
6103,6102,1314.2558566494436
14014,2135,1310.038472567473
3058,3057,1233.5450179323154
5129,6052,1077.7610830968872
3042,3041,1074.4360064919856
7015,14018,735.454507597741
2041,2042,596.0306541539318
14040,14039,590.7935892712277
2123,2124,550.0285731317355
3030,3027,405.63237527596004
9064,9073,396.07658450177337
5014,21022,382.5812169673255
5097,6092,301.2321342856164
5077,5086,252.16874088992842
5123,5129,226.90850834477394
3058,3060,221.81857409006057
6053,6054,220.12872862498267
9097,9110,216.22002294123592
5054,5068,207.2683154077693
6107,4027,182.22115320974484
3036,3035,134.9185577549055
6040,6045,126.86680452817255
14014,2133,119.5084578704092
5087,5077,107.60577862173741
6108,6110,102.86534935915495
3002,3003,82.83439661414815
2009,2008,65.56488412803074
4027,5073,61.28420152444137
9015,9016,59.908886321502195
2110,2111,56.723425100928544
5056,5066,56.16561200862563
4027,5093,54.364219618601815
2150,14007,50.06458884604841
14008,2136,45.80476406987645
5053,5069,45.24910128458835
14015,14016,44.411410813704634
5066,5068,43.461681794479745
7022,2128,40.61990884747979
4027,6112,38.33241189192977
5093,5073,32.48626686805314
3043,3041,31.888807732268447
6033,6034,31.27811492618766
6088,6090,27.02183052080814
5141,6045,20.658325183347504
9099,9110,20.558634025645407
6053,6077,19.536619413845496
7022,7023,12.56842045919987
9024,9023,12.36159664751315
3023,3014,11.913774309381724
5072,5071,11.628437809690531
14014,2136,10.44291451996695
5123,6077,10.111223362678093
