id,other_id,int_area_m2
5036,5038,9841.494484768446
5031,4036,8322.606136132526
4026,6112,8172.443437619619
2129,2132,6935.206166664939
5053,5071,6584.595359751948
4027,4026,6108.607905439435
2046,2047,4171.3936496196375
4027,6108,4124.026760176406
1002,3060,3802.8378808492
6035,6034,3463.5078692571074
5073,4027,2791.609364600009
9075,9076,2776.795476527851
5021,5020,2297.531206342975
4023,4022,2279.519326569706
14015,2133,2137.547215187108
6074,6075,1913.7202980713384
6040,6045,1789.0756110419495
9002,9003,1714.730087167984
14015,14014,1711.329386433058
7015,7014,1650.876913709541
9101,9106,1618.5432933435436
3020,3014,1577.9171434073976
6103,6102,1309.1441387042958
14014,2135,1268.0658100834976
3058,3057,1238.7867074209744
6046,6048,1110.540348441185
5129,6052,1109.6508607180735
3042,3041,1077.3142552694105
5066,5067,958.7347691004409
14010,14008,639.8584578604033
4027,6110,630.5012239932128
2123,2124,629.7882410147756
14040,14039,591.5724867476868
2041,2042,578.4285799177306
9097,9110,576.5757267792915
5014,21022,435.5502129619856
3030,3027,384.33346290606636
14018,7015,359.01887949745964
5097,6092,303.2181326320806
6048,6052,301.01728613052
2129,7022,296.446311961444
2136,14014,289.3798606657028
2076,2100,261.62250523935325
9064,9073,259.4001806827698
5077,5086,258.368417556278
2110,2111,257.7259912271751
5123,5129,230.04071257243857
6053,6054,220.99170219414705
3058,3060,210.64482365010568
5054,5068,203.38835607060602
6107,4027,183.43103086004496
2150,14007,169.57152036021577
5053,5069,158.3051998581407
6040,6041,132.97284920417047
2156,2157,116.17615407914596
6108,6110,112.07288579237638
5087,5077,106.32739561917126
6053,6077,96.35393167502686
6054,6077,91.75752133841688
7012,14032,89.60837270179185
2126,2127,85.76222268083919
6043,6040,74.29326320079599
5056,5066,68.67408107244248
3002,3003,67.84963593639729
2009,2008,65.5648496573349
6077,6078,58.78054647464031
4027,5093,48.63084916286636
5066,5068,46.246165954397355
14015,14016,45.85110830373242
7022,2128,43.482479672084885
4027,6112,38.33241142814822
5093,5073,35.07587062092359
2133,14014,33.27064397753948
6045,5141,32.87577650697535
3043,3041,31.841534965874345
9015,9016,29.67395183490241
2088,2086,29.621774719831265
4042,21022,28.026872213026593
5071,5072,27.756723319777265
6107,6108,26.855986811927043
6066,6077,25.587964964477344
5123,6077,23.6502565262964
7022,7023,20.785755809892258
3035,3036,19.280198570520096
6088,6090,18.35055560071696
6033,6034,16.930449719429554
2072,2074,14.701423987101059
9099,9110,14.459482638906174
9024,9023,13.12107353019147
2068,2063,12.508978540680001
3023,3014,11.72453306103529
5123,6078,11.02666450071527
