id,other_id,int_area_m2
5036,5038,6812.06639827166
13011,13012,4351.376784853825
9075,9076,2776.790457359429
5066,5067,2463.320826776719
6046,6048,1794.3462751691054
2133,14015,1437.6012020742498
4027,6110,1112.5134916950228
2136,14008,1095.3412483182537
5080,5081,973.4353279718152
14010,14008,939.9588425665572
7022,2129,864.1590000945464
4027,4028,834.5657283798312
5156,5157,827.4254042007486
4036,5036,644.1661825981831
14015,14014,514.1599607732836
2133,14016,499.66339290328636
6074,6075,493.58616976713756
6043,6040,479.9092427183589
5137,5138,444.957604577524
5023,4038,441.9079741017597
2111,2110,414.37856513549525
13028,13027,412.31700398026635
7022,2128,408.9861883534834
7007,7006,403.8623075355688
2150,14007,392.1711970349879
2076,2100,373.538225431455
6048,6052,341.6384531769109
2090,2083,337.41606974946427
14035,14034,332.95442137199353
5068,5066,325.020951102999
5026,5025,299.66557775080236
9064,9073,259.4243167524256
6053,6077,254.66924015988374
3015,3020,246.24623033144985
6052,5129,226.86649740303466
2018,2019,223.02322621450088
2136,14014,220.24529600954253
7009,7010,216.441517661486
2101,2102,212.60390574440996
6040,6041,197.5792383240979
2133,14014,192.42881316050006
7022,2132,185.5842948105476
4027,5073,179.57031553830853
2107,2074,146.9229551617087
2133,2135,134.77351796324058
3027,3030,125.73348023775098
9097,9110,123.19753153654078
2126,2127,120.28745073516198
3060,1002,115.42785179301991
5053,5069,114.13239942939235
6108,4027,99.89922867929525
2075,2074,96.73658365058539
4028,5051,93.2933901285348
2040,3032,93.22726076104554
6054,6077,91.75752032352838
2022,3036,79.50063838741058
6040,6039,77.42391711643437
5016,5017,76.33374520626367
9108,9109,72.57845105144696
2042,2041,72.17960442897204
6107,4027,67.07147312550472
14015,14016,66.64655923273932
2135,14014,63.93853989982612
9003,9002,63.612474260703046
14032,7012,63.52797126145751
5054,5053,61.52662489281839
6108,6107,59.54536365127814
3036,3035,58.88783054498056
6077,6078,58.78330411018976
5051,4027,58.51134922415613
5138,5139,57.88150183969243
4042,21022,53.86007427143279
2079,2080,48.398732807782
6045,5141,47.76214561267013
2123,2124,46.31097043397029
2144,2150,45.06790111912352
2157,2156,43.739316308969656
7022,7023,42.84777224694058
6045,6040,41.75019756106512
2035,2034,41.55012731918058
21022,5014,38.75223488391664
5079,5083,37.17333431096982
9099,9110,35.324224840275505
6034,6033,35.25587973000746
3023,3014,34.09101757332559
6077,5123,32.964180958192166
5071,5072,32.74289784788288
2072,2074,31.154643521055966
13017,13019,29.739703353287084
9015,9016,29.672866283011775
5053,5051,29.546748837043253
3023,3022,26.27581695353743
6066,6077,25.58596844186207
2129,2132,25.326852052348194
6110,6108,24.12318500892821
3002,3003,21.941545037242904
14021,14019,21.624693471044708
2022,2034,20.020596534644504
2036,2034,19.71954395451703
3058,3056,19.579151238555067
3058,3060,19.36891257605626
2110,2107,19.323719276983713
2086,2088,19.12831539779235
6090,6088,19.091479703850105
2039,2037,18.06665929738838
6092,5097,17.000922207736124
5123,5129,16.693130332239583
5098,5101,16.602699176944967
4026,4027,16.22076407414118
3057,3058,15.095453449076135
12014,12013,14.4535188926735
5056,5066,13.955533686356171
2062,2063,13.62988583244493
9024,9023,13.118832060887353
5077,5086,12.707182992455195
2068,2063,12.509122810947998
5068,5054,12.2291331331248
6066,6054,11.349026138549586
5123,6078,11.026662536886962
4036,5031,10.612974162830815
3020,3014,10.524562069505308
