id,other_id,int_area_m2
4026,6112,8171.602957485769
2129,2132,6926.480151237813
5053,5071,6567.4596890807
4027,4026,6108.608291267303
4027,6108,4086.632205055814
6035,6034,3428.7021087933954
2042,2041,3312.6685101379776
5021,5020,2336.315989060719
14015,2133,2141.165249202339
6074,6075,1906.7624563603085
14015,14014,1696.5048605609954
7015,7014,1650.876738139528
9101,9106,1618.5495042223317
14032,7012,1525.3843340768422
9002,9003,1454.0378861778706
6103,6102,1313.3234821969445
2009,2008,1100.82817193582
3058,3057,1023.3756291103307
2129,7022,779.7113784099713
7015,14018,735.4545074985087
2006,2005,712.8081757468037
14040,14039,590.7935892786361
4036,5031,500.0716077867175
4023,4022,455.7538510445844
9064,9073,396.1152687196694
5014,21022,316.22682524383964
5097,6092,301.2320252059529
5077,5086,252.16874083822117
5123,5129,226.90851180369037
6053,6054,220.12872853451873
9097,9110,216.19673849415582
5054,5068,207.26831454167723
3060,1002,173.03460174899072
6107,4027,141.51977104467497
5093,4027,138.07731454001353
14014,2133,119.50823176463511
5087,5077,107.60577878159458
6108,6110,102.87002610974736
3002,3003,82.85669769270125
4027,5073,61.28419934379844
2110,2111,56.71981322411003
5056,5066,56.165610866070836
2150,14007,50.064537836238515
14008,2136,45.80487303966643
5053,5069,45.249101244433746
14015,14016,44.408933343936916
5066,5068,43.22798776856264
9015,9016,42.446606735953985
7022,2128,40.619720842788176
4027,6112,38.33267105365791
5093,5073,32.48626684947128
6033,6034,31.278111114744036
6088,6090,22.628909726621536
5141,6045,20.658324523524133
9099,9110,20.554946078022585
6053,6077,19.545656259560356
3043,3041,19.079651402094356
3042,3041,17.084571303263672
7022,7023,12.569998642390953
9024,9023,12.361606707942082
5072,5071,11.628437811910988
14014,2136,10.442604589047637
5123,6077,10.049434098204173
