crt_nr,crt_name,crt_region,other_nr,int_area_m2
2072,Langtaler Ferner,Oetztaler_Alpen,2074,2532.3167486019147
2129,Kesselwand Ferner,Oetztaler_Alpen,7022,644.3762291190652
9064,Floiten Kees,Zillertaler_Alpen,9073,396.1152687196694
2128,Hintereiswände,Oetztaler_Alpen,7022,214.2246945703593
6102,Kalser Tauern Kees S,Granatspitzgruppe,6103,211.6186372242464
2110,Marzell Ferner,Oetztaler_Alpen,2111,193.49921723658133
9097,Grosser Riepen Kees,Zillertaler_Alpen,9110,177.70845859221234
1002,Lisenser Ferner,Stubaier_Alpen,3060,177.30243427380435
2150,Rettenbach Ferner,Oetztaler_Alpen,14007,153.39358260351165
2133,Vernagt Ferner,Oetztaler_Alpen,14014,143.7689698096758
2132,Guslar Ferner gr.,Oetztaler_Alpen,7022,98.55942928006496
4027,Pasterzen Kees,Glocknergruppe,5073,61.284284268470074
14015,Taschach Ferner W,Oetztaler_Alpen,14016,47.7284792030681
9015,Ziller Kees,Zillertaler_Alpen,9016,42.446606735953985
9099,Friesenberg Kees,Zillertaler_Alpen,9110,40.48689092862637
3027,Westlicher Grübl Ferner W,Stubaier_Alpen,3030,37.94946434888116
6033,Welitz Kees S,Venedigergruppe,6034,31.278111114744036
4026,Hoffmanns Kees,Glocknergruppe,4027,24.09266724727602
2144,Seiter Ferner,Oetztaler_Alpen,2150,23.457441555048632
5141,Krimmler Kees,Venedigergruppe,6045,21.790861477590102
3041,Ruderhof Ferner ob.,Stubaier_Alpen,3042,20.01073372555724
6053,Rainer Kees,Venedigergruppe,6077,19.546055539448673
5054,Teufelsmühl Kees,Glocknergruppe,5068,14.162275038044868
5053,Hochgruber Kees,Glocknergruppe,5069,13.924140714589454
2086,Loob Ferner,Oetztaler_Alpen,2088,13.311720200971592
9023,Rauchkofel Kees S2,Zillertaler_Alpen,9024,12.36160670794208
7022,Gepatsch Ferner,Oetztaler_Alpen,7023,12.0680279060066
2136,Rofenkar Ferner,Oetztaler_Alpen,14014,11.939868094688014
2133,Vernagt Ferner,Oetztaler_Alpen,2135,11.578743343553551
5123,Untersulzbach Kees,Venedigergruppe,5129,10.951086178409302
4027,Pasterzen Kees,Glocknergruppe,6108,10.548516993881956
4028,Wasserfallwinkel,Glocknergruppe,5051,10.077057800848301
5123,Untersulzbach Kees,Venedigergruppe,6077,10.049434098204173
5129,Obersulzbach Kees,Venedigergruppe,6052,9.923546550575917
6088,Daber Kees N,Granatspitzgruppe,6090,8.750996079631237
2062,Rotmoos Ferner N,Oetztaler_Alpen,2063,7.794665964009832
5066,Wielinger Kees,Glocknergruppe,5068,7.487424527339019
9008,Schönach Kees M,Zillertaler_Alpen,9009,7.352182975637953
6039,Althaus Kees,Venedigergruppe,6040,6.479333354205547
5123,Untersulzbach Kees,Venedigergruppe,6053,6.2461966501707185
3015,Aperer Feuerstein Ferner E1,Stubaier_Alpen,3020,5.72232126534382
4027,Pasterzen Kees,Glocknergruppe,5093,5.677551661714819
6046,Maurer Kees W,Venedigergruppe,6048,5.621563843384271
2037,Windacher Ferner,Stubaier_Alpen,2039,5.620104115333039
3002,Wildlahner Ferner,Zillertaler_Alpen,9110,5.093254504327204
7015,Bligg Ferner S,Oetztaler_Alpen,14018,4.433319300697218
3041,Ruderhof Ferner ob.,Stubaier_Alpen,3043,3.88356002602016
11001,Schladminger Gletscher,Dachstein,11002,3.869250849321091
