crt_nr,crt_name,crt_region,other_nr,int_area_m2
3002,Wildlahner Ferner,Zillertaler_Alpen,3003,3.6712620349045766
5097,Sonnblick Kees,Granatspitzgruppe,6092,3.6470956397368446
6108,Fruschnitz Kees,Glocknergruppe,6110,3.6420089182535413
2164,Äusserer Pirchelkar Ferner S,Oetztaler_Alpen,2165,2.130136268387899
2063,Rotmoos Ferner,Oetztaler_Alpen,2068,1.97168732224628
4027,Pasterzen Kees,Glocknergruppe,5051,1.9115281871278385
12007,Vermunt Gletscher,Silvrettagruppe,13019,1.711639907570028
7014,Bligg Ferner N,Oetztaler_Alpen,7015,1.167206124556178
4026,Hoffmanns Kees,Glocknergruppe,6112,0.7987377556210324
7030,Riffl Ferner,Oetztaler_Alpen,8001,0.7737862371533923
6040,Umbal Kees,Venedigergruppe,6045,0.6313981984805614
14039,Neururer Ferner N,Oetztaler_Alpen,14040,0.584411736397977
2164,Äusserer Pirchelkar Ferner S,Oetztaler_Alpen,14003,0.537613567743698
9002,Wildgerlos Kees E,Zillertaler_Alpen,9003,0.2848313124737132
6074,Knorr Kees W,Venedigergruppe,6075,0.11429572443739687
2046,Hangender Ferner,Stubaier_Alpen,2047,0.015433238668578509
6054,Mullwitz Kees,Venedigergruppe,6077,0.013356185711611582
9040,Grasleiten Kees S,Zillertaler_Alpen,9055,0.012767151882110205
3035,Schaufel Ferner,Stubaier_Alpen,3036,0.012192310957986415
2164,Äusserer Pirchelkar Ferner S,Oetztaler_Alpen,14002,0.00545791872790371
2041,Triebenkarlas Ferner,Stubaier_Alpen,2042,0.005371232836058925
6054,Mullwitz Kees,Venedigergruppe,6066,0.002619463338990012
9086,Furtschagl Kees,Zillertaler_Alpen,9087,0.0011651090024429323
2005,Zwiselbach Ferner,Stubaier_Alpen,2006,0.001131581368912008
3014,Simming Ferner W,Stubaier_Alpen,3023,0.0010678399307495774
6107,Laperwitz Kees,Glocknergruppe,6108,0.0009056925750314804
4027,Pasterzen Kees,Glocknergruppe,6107,0.0009053294994221101
5123,Untersulzbach Kees,Venedigergruppe,6078,0.0007799990919681954
14008,Mittelberg Ferner,Oetztaler_Alpen,14014,0.0007695021107233699
9101,Federbett Kees,Zillertaler_Alpen,9106,0.0005707548347783846
2135,Mitterkar Ferner,Oetztaler_Alpen,14014,0.000554602580946057
2133,Vernagt Ferner,Oetztaler_Alpen,14015,0.0005064115183028067
15002,Fallende Bach Ferner M,Oetztaler_Alpen,15003,0.00039568481614637996
13055,Fasul Ferner S,Verwallgruppe,13056,0.0003297904193999557
14014,Taschach Ferner E,Oetztaler_Alpen,14015,0.0002004469094111235
9075,Horn Kees,Zillertaler_Alpen,9076,0.00018380635306947113
5077,Hochweissenfeld Kees,Glocknergruppe,5086,6.969119714395747e-05
6035,Welitz Kees N1,Venedigergruppe,6036,2.6543206083834164e-05
2037,Windacher Ferner,Stubaier_Alpen,3035,2.2196101955790126e-05
5073,Karlinger Kees,Glocknergruppe,5093,1.9797166502577568e-05
6053,Rainer Kees,Venedigergruppe,6054,2.928771126499255e-06
14001,Breitlehn Ferner,Oetztaler_Alpen,14002,6.170387724567555e-07
12005,Rauhkopf Gletscher,Silvrettagruppe,13028,4.094598977655295e-07
4042,Plessnitz Kees,Ankogel_Hochalmspitzgruppe,21022,2.7486253625259216e-07
4022,Schwerteck Kees E,Glocknergruppe,4023,2.666463485515346e-07
4027,Pasterzen Kees,Glocknergruppe,4028,2.5654538982067265e-07
5056,Sandboden Kees,Glocknergruppe,5066,1.3266009564629143e-07
5077,Hochweissenfeld Kees,Glocknergruppe,5087,9.89946317154463e-08
5053,Hochgruber Kees,Glocknergruppe,5071,3.653882386125241e-08
6066,Frosnitz Kees,Venedigergruppe,6077,3.475682558169019e-08
6034,Welitz Kees M,Venedigergruppe,6035,1.8022336494924953e-08
5014,NN,Ankogel_Hochalmspitzgruppe,21022,1.7423598615963506e-08
4036,Kleiner Fleiss Kees,Sonnblickgruppe,5031,1.189240386459651e-08
5051,Bockkar Kees,Glocknergruppe,5071,3.8244360113383715e-09
3002,Wildlahner Ferner,Zillertaler_Alpen,9097,2.8321292332400246e-09
6077,Schlaten Kees,Venedigergruppe,6078,2.0749338943176803e-09
4029,NN,Glocknergruppe,5051,1.9354945287613124e-10
